X_scan,Y_scan,X_acc,Y_acc,Radius,Mean,StdDev,Prominence_min,Prominence_pseudo
1,1,255.7110,256.1277,3,197.7778,2.3469,3,192
1,1,229.4087,242.2534,3,185.3333,2.3469,3,140
1,1,284.1579,268.4194,3,199.2222,2.3469,3,159
1,1,281.5023,238.6206,3,186.1111,2.3469,3,125
1,1,231.4452,273.5095,3,135.5556,2.3469,3,103
1,1,254.4433,225.2948,3,83.3333,2.3469,3,67
1,1,259.4052,286.5190,3,155.7778,2.3469,3,114
1,1,308.3725,252.1553,3,198.7778,2.3469,3,155
1,1,279.3828,209.0888,3,208.5556,2.3469,3,161
1,1,227.3662,212.3205,3,69.5556,2.3469,3,56
1,1,287.0732,299.3240,3,181.1111,2.3469,3,135
1,1,203.4748,260.0321,3,211.4444,2.3469,3,171
1,1,233.4867,305.1831,3,205.6667,2.3469,3,166
1,1,262.2536,316.4129,3,91.2222,2.3469,3,72
1,1,202.4740,229.2188,3,79.2222,2.3469,3,64
1,1,206.3517,290.3878,3,99.5556,2.3469,3,80
1,1,252.1594,195.1983,3,28.1111,2.3469,3,21
1,1,307.0697,222.0300,3,174.4444,2.3469,3,125
1,1,311.4866,282.2870,3,86.6667,2.3469,3,72
1,1,177.2119,246.2485,3,85.8889,2.3469,3,62
1,1,179.1409,277.2692,3,89.1111,2.3469,3,62
1,1,304.1580,192.1652,3,81.0000,2.3469,3,57
1,1,336.3150,265.2442,3,68.0000,2.3469,3,54
1,1,314.2299,312.3398,3,74.7778,2.3469,3,56
1,1,277.0835,178.1017,3,13.5556,2.3469,3,11
1,1,289.5000,330.1200,3,80.7778,2.3469,3,53
1,1,209.0419,322.0369,3,69.3333,2.3469,3,48
1,1,334.3495,234.5239,3,135.0000,2.3469,3,99
1,1,224.2109,181.2802,3,9.7778,2.3469,3,6
1,1,199.2435,198.3394,3,11.2222,2.3469,3,9
1,1,236.3020,335.0062,3,56.0000,2.3469,3,39
1,1,174.3441,216.2251,3,12.7778,2.3469,3,9
1,1,181.3289,308.1240,3,84.5556,2.3469,3,61
1,1,339.3650,295.4737,3,100.4444,2.3469,3,84
1,1,331.4665,204.4829,3,126.6667,2.3469,3,108
1,1,249.2200,164.1504,3,9.4444,2.3469,3,6
1,1,264.4343,348.0446,3,118.3333,2.3469,3,83
1,1,152.1865,263.4729,3,66.6667,2.3469,3,48
1,1,361.0653,248.2789,3,103.4444,2.3469,3,73
1,1,302.0344,161.1247,3,17.4444,2.3469,3,11
1,1,211.1992,352.3938,3,108.3333,2.3469,3,80
1,1,317.1547,343.1968,3,71.5556,2.3469,3,51
1,1,154.0928,294.2398,3,92.0000,2.3469,3,61
1,1,183.4354,338.1863,3,39.1111,2.3469,3,30
1,1,329.2722,174.0645,3,13.6667,2.3469,3,8
1,1,359.1283,217.5597,3,63.1111,2.3469,3,44
1,1,341.4749,325.4376,3,44.7778,2.3469,3,37
1,1,239.1525,365.2506,3,43.0000,2.3469,3,33
1,1,363.5089,279.0425,3,31.4444,2.3469,3,22
1,1,292.1099,360.3761,3,38.2222,2.3469,3,28
1,1,356.1959,188.0811,3,37.8889,2.3469,3,25
1,1,156.2858,325.1815,3,71.4444,2.3469,3,53
1,1,366.4382,309.0855,3,49.0000,2.3469,3,37
1,1,267.0519,378.2216,3,46.1111,2.3469,3,33
1,1,386.3411,230.4680,3,38.5556,2.3469,3,32
1,1,186.3771,369.2060,3,26.1111,2.3469,3,20
1,1,214.2838,382.1246,3,31.0000,2.3469,3,23
1,1,389.1699,261.2288,3,39.4444,2.3469,3,26
1,1,319.1279,374.1566,3,37.6667,2.3469,3,26
1,1,344.1902,357.1564,3,26.7778,2.3469,3,17
1,1,130.1773,311.2959,3,78.8889,2.3469,3,54
1,1,383.3272,201.0259,3,42.5556,2.3469,3,32
1,1,159.2709,355.3541,3,37.0000,2.3469,3,28
